Event_Id,Accident_Number,Event_Date,LOCATION,Country,Latitude,Longitude,Injury_Severity,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight
20030912X01529,ANC03CA078,7/31/03,"ANIAK, AK",United States,61.713333,-158.616667,Non-Fatal,Airplane,N3694T,Taylorcraft,F-19,No,1,Reciprocating,Personal,Unknown,0,0,0,1,VMC,Landing
20050906X01391,ANC05CA108,7/25/05,"ALEKNAGIK, AK",United States,59.281111,-158.597222,Non-Fatal,Airplane,N6195D,Piper,PA-18-150,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Takeoff
20150727X42358,ANC15LA056,7/20/15,"DILLINGHAM, AK",United States,59.05,-158.581389,Non-Fatal,Airplane,N8761C,Piper,PA 18-150,No,1,Reciprocating,Personal,Unknown,0,0,0,2,VMC,Takeoff
20140917X62153,ANC14CA083,9/16/14,"AMBLER, AK",United States,66.8975,-158.573889,Non-Fatal,Airplane,N6589E,Cessna,175,No,1,Reciprocating,Personal,Unknown,0,0,0,1,VMC,Takeoff
20200629X04901,ANC20CA061,6/17/20,"CHIGNIK LAGOON, AK",United States,56.310554,-158.53555,Non-Fatal,Airplane,N777AK,Beech,A36,No,1,Reciprocating,Unknown,"Lake Clark Air, Inc.",0,0,0,1,IMC,Unknown
20100916X72850,ANC10LA094B,9/15/10,"DILLINGHAM, AK",United States,59.059444,-158.530278,Non-Fatal,Airplane,N2FD,Piper,PA-18,No,1,Reciprocating,Personal,Unknown,0,1,1,Unknown,VMC,Takeoff
20100916X72850,ANC10LA094A,9/15/10,"DILLINGHAM, AK",United States,59.059444,-158.530278,Non-Fatal,Airplane,N9699P,Piper,PA-18,No,1,Reciprocating,Personal,Unknown,0,1,1,Unknown,VMC,Takeoff
20110822X30734,ANC11LA084,8/21/11,"DILLINGHAM, AK",United States,59.044722,-158.505556,Non-Fatal,Airplane,N139F,Grumman,G-44,No,2,Reciprocating,Unknown,Fresh Water Adventures Inc (dba: Fresh Water Adventures),0,0,0,4,VMC,Landing
20081003X62326,ANC08CA123,9/12/08,"DILLINGHAM, AK",United States,59.044722,-158.505556,Non-Fatal,Airplane,N6426H,Cessna,207,No,1,Reciprocating,Unknown,Shannon's Air Taxi,0,0,0,7,IMC,Takeoff
20050616X00798,ANC05CA077,5/15/05,"DILLINGHAM, AK",United States,59.033333,-158.505556,Non-Fatal,Airplane,N8275U,Piper,PA-18,No,1,Reciprocating,Instructional,Unknown,0,0,0,2,VMC,Landing
20190606X60552,GAA19CA316,6/5/19,"DILLINGHAM, AK",United States,59.039722,-158.4575,Non-Fatal,Airplane,N2601D,Cessna,170,No,1,Reciprocating,Personal,Unknown,0,0,0,1,VMC,Landing
20100810X62027,ANC10MA068,8/9/10,"ALEKNAGIK, AK",United States,59.323889,-158.370834,Fatal,Airplane,N455A,Dehavilland,DHC-3,No,1,Turbo Prop,Other Work Use,Unknown,5,4,0,Unknown,VMC,Cruise
20130308X64149,ANC13FA030,3/8/13,"ALEKNAGIK, AK",United States,59.317778,-158.351111,Fatal,Airplane,N116AX,Beech,1900C,No,2,Turbo Prop,Unknown,Alaska Central Express Inc (dba: Alaska Central Express),2,0,0,Unknown,IMC,Maneuvering
20121007X33859,ANC13FA001,10/7/12,"ALEKNAGIK, AK",United States,59.972223,-158.350278,Fatal,Airplane,N139F,Grumman,G-44,No,2,Reciprocating,Positioning,Unknown,1,0,0,Unknown,VMC,Maneuvering
20150127X14127,WPR15CA091,1/25/15,"MAKAHA, HI",United States,21.468056,-158.312222,Non-Fatal,Airplane,N422BP,Cessna,172N,No,1,Reciprocating,Personal,Unknown,0,0,2,2,VMC,Unknown
20160531X61809,WPR16LA119,5/23/16,"WAIANAE, HI",United States,21.463611,-158.215278,Non-Fatal,Airplane,N6697Y,Beech,C23,No,1,Reciprocating,Personal,Unknown,0,0,2,Unknown,VMC,Unknown
20200223X34938,ANC20FA024,2/22/20,"MOKULEIA, HI",United States,21.576945,-158.200556,Fatal,Airplane,N65070,Cessna,305,No,1,Reciprocating,Instructional,Unknown,2,0,0,Unknown,VMC,Takeoff
